,Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
292,Cardamom,1998,Whole Year ,West Bengal,2875.0,690,2152.5,284050.0,833.75,0.24
293,Castor seed,1998,Rabi       ,West Bengal,54.0,38,2152.5,5335.2,15.66,0.7
295,Cotton(lint),1998,Kharif     ,West Bengal,200.0,73,2152.5,19760.0,58.0,0.37
296,Dry chillies,1998,Whole Year ,West Bengal,64354.0,50000,2152.5,6358175.2,18662.66,0.890555556
297,Ginger,1998,Kharif     ,West Bengal,9398.0,18839,2152.5,928522.4,2725.42,1.449444444
298,Gram,1998,Rabi       ,West Bengal,23286.0,18971,2152.5,2300656.8,6752.94,0.875
299,Groundnut,1998,Whole Year ,West Bengal,30157.0,34994,2152.5,2979511.6,8745.53,1.128571429
300,Horse-gram,1998,Rabi       ,West Bengal,4958.0,2043,2152.5,489850.4,1437.82,0.422
301,Jowar,1998,Kharif     ,West Bengal,886.0,414,2152.5,87536.8,256.94,0.465
303,Khesari,1998,Rabi       ,West Bengal,23300.0,20850,2152.5,2302040.0,6757.0,0.774666667
304,Linseed,1998,Rabi       ,West Bengal,10323.0,2691,2152.5,1019912.4,2993.67,0.24
305,Maize,1998,Kharif     ,West Bengal,38519.0,50000,2152.5,3805677.2,11170.51,2.634
306,Masoor,1998,Rabi       ,West Bengal,51919.0,35600,2152.5,5129597.2,15056.51,0.600588235
307,Mesta,1998,Kharif     ,West Bengal,9911.0,50000,2152.5,979206.8,2874.19,8.453846154
308,Moong(Green Gram),1998,Kharif     ,West Bengal,822.0,429,2152.5,81213.6,238.38,0.5075
309,Moong(Green Gram),1998,Rabi       ,West Bengal,2729.0,1598,2152.5,269625.2,791.41,0.61
310,Moong(Green Gram),1998,Summer     ,West Bengal,9320.0,2980,2152.5,920816.0,2702.8,0.312857143
311,Niger seed,1998,Kharif     ,West Bengal,7587.0,4100,2152.5,749595.6,2200.23,0.4075
312,Other Kharif pulses,1998,Kharif     ,West Bengal,768.0,318,2152.5,75878.4,222.72,0.516
313,Peas & beans (Pulses),1998,Rabi       ,West Bengal,9230.0,6776,2152.5,911924.0,2676.7,0.70625
315,Ragi,1998,Kharif     ,West Bengal,12895.0,15648,2152.5,1274026.0,3739.55,0.91
316,Rapeseed &Mustard,1998,Rabi       ,West Bengal,344358.0,50000,2152.5,34022570.4,99863.82,0.667222222
320,Safflower,1998,Rabi       ,West Bengal,48.0,16,2152.5,4742.4,13.92,0.4575
